n_ActionID,c_Competition,n_MatchID,c_HomeTeam,c_AwayTeam,n_HomeGoals,n_AwayGoals,d_Date,c_Action,c_Period,n_StartTime,n_Endtime,n_HomeOrAway,n_TeamID,c_Team,n_personid,c_person,c_Function,n_ShirtNr,c_ActionReason,c_actionInfo,n_Subpersonid,c_Subperson
27729723,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Shot on goal,Second half,4881000,4881000,-1,4010,Aston Villa,1210500,Marvelous Nakamba,NULL,NULL,NULL,Left foot,0,NULL
27729701,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Free kick,Second half,4899000,4899000,-1,4075,Liverpool,450636,James Milner,NULL,NULL,NULL,Right foot,0,NULL
27729700,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Foul committed,Second half,4889000,4889000,1,4034,Chelsea,953148,Kurt Zouma,NULL,NULL,Rough play,NULL,912989,Roberto Firmino
27729666,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Free kick,Second half,4845000,4845000,-1,4075,Liverpool,774899,Adrián,NULL,NULL,NULL,Right foot,0,NULL
27729658,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Offside,Second half,4823000,4823000,1,4034,Chelsea,838446,Marcos Alonso,NULL,NULL,NULL,NULL,0,NULL
27729642,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Free kick,Second half,4814000,4814000,1,4034,Chelsea,1496606,Mason Mount,NULL,NULL,NULL,Right foot,0,NULL
27729623,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Foul committed,Second half,4783000,4783000,-1,4075,Liverpool,778343,Joel Matip,NULL,NULL,Rough play,NULL,681805,Willian
27729605,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Blocked shot,Second half,4680000,4680000,1,4007,Arsenal,1078563,Calum Chambers,NULL,NULL,NULL,Left foot,0,NULL
27729604,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Shot blocked by,Second half,4680000,4680000,-1,4010,Aston Villa,981069,Björn Engels,NULL,NULL,NULL,NULL,0,NULL
27729595,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Shot wide,Second half,4677000,4677000,1,4007,Arsenal,1332842,Nicolas Pépé,NULL,NULL,NULL,Right foot,0,NULL
27729589,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Goal kick,Second half,4732000,4732000,-1,4075,Liverpool,774899,Adrián,NULL,NULL,NULL,NULL,0,NULL
27729555,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Goal kick,Second half,4623000,4623000,1,4007,Arsenal,828604,Bernd Leno,NULL,NULL,NULL,NULL,0,NULL
27729546,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Free kick,Second half,4669000,4669000,1,4034,Chelsea,659005,César Azpilicueta,NULL,NULL,NULL,Right foot,0,NULL
27729536,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Yellow,Second half,4653000,4653000,-1,4075,Liverpool,1052824,Fabinho,NULL,NULL,Holding,NULL,0,NULL
27729535,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Foul committed,Second half,4648000,4648000,-1,4075,Liverpool,1052824,Fabinho,NULL,NULL,Holding,NULL,918675,Michy Batshuayi
27729514,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Corner,Second half,4621000,4621000,-1,4075,Liverpool,1385429,Trent Alexander-Arnold,NULL,NULL,NULL,Right foot,0,NULL
27729500,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Free kick,Second half,4546000,4546000,-1,4010,Aston Villa,633151,Tom Heaton,NULL,NULL,NULL,Right foot,0,NULL
27729481,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Offside,Second half,4512000,4512000,1,4007,Arsenal,1011486,Sead Kola?inac,NULL,NULL,NULL,NULL,0,NULL
27724016,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Substitution,Second half,4562000,NULL,1,4034,Chelsea,918675,Michy Batshuayi,Forward,23,NULL,NULL,1498041,Tammy Abraham
27690672,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Line-up,Start,NULL,4562000,1,4034,Chelsea,1498041,Tammy Abraham,Forward,9,NULL,NULL,0,NULL
